ID,Title,Author,Length,URL,Year,Approach
video035,Laparoscopic Radical Prostatectomy - Ca.prostate in presence of chronic prostatitis| Surgical Videos,Asian Institute of Nephrology & Urology,3252.698,http://dg1fmc8qbela5.cloudfront.net/video035.mp4,2021,posterior
video036,"Laparoscopic Radical Prostatectomy - Extraperitoneal approach, nerve sparing",Endourology Patras,1517.981315,http://dg1fmc8qbela5.cloudfront.net/video036.mp4,2012,anterior
video037,"Laparoscopic radical prostatectomy - full, 1x speed",Uro surgery,4797.173,http://dg1fmc8qbela5.cloudfront.net/video037.mp4,2021,anterior
video038,Laparoscopic radical prostatectomy of a 150 ml prostate with a median lobe,Ioannis Kartalas Goumas,5553.214694,http://dg1fmc8qbela5.cloudfront.net/video038.mp4,2020,anterior
video039,Laparoscopic Radical Prostatectomy Surgery,Dr. Jaydeep Date,1509.227392,http://dg1fmc8qbela5.cloudfront.net/video039.mp4,2019,anterior
video042,LAPAROSCOPIC RADICAL PROSTATECTOMY WITH BILATERAL PELVIC LYMPHADENECTOMY,Preeti Hospital-Best Urology Hospital in Hyderabad,17268.63379,http://dg1fmc8qbela5.cloudfront.net/video042.mp4,2020,posterior
video043,Laparoscopic Radical Prostatectomy with Nerve Sparing,Dr Aditya K Sharma,2568.777143,http://dg1fmc8qbela5.cloudfront.net/video043.mp4,2019,anterior
video044,Live daVinci Robotic Prostate Removal 2 - Capitol Urology,Thomas Edmunds,4564.323265,http://dg1fmc8qbela5.cloudfront.net/video044.mp4,2012,posterior
video045,Live daVinci Robotic Prostatectomy Capitol Urology Columbia SC,Thomas Edmunds,1355.209433,http://dg1fmc8qbela5.cloudfront.net/video045.mp4,2012,anterior
video046,"Live OR: Robot-Assisted Laparoscopic Prostatectomy with Dr. Richstone, Dr. Mikhail and Dr. Rai",BRAINterns Webinar Series,3573.80644,http://dg1fmc8qbela5.cloudfront.net/video046.mp4,2020,anterior
video047,Live robotic da Vinci radical prostatectomy during EAU congress - Barcelona,urologiemondor,2851.71229,http://dg1fmc8qbela5.cloudfront.net/video047.mp4,2010,anterior
video048,Live Robotic Prostatectomy WRSE Nov 16 DECLAN MURPHY,Declan Murphy,6037.769,http://dg1fmc8qbela5.cloudfront.net/video048.mp4,2016,anterior
video049,Live Robotic Prostatectomy | WRSE Jan 19,Declan Murphy,4109.653333,http://dg1fmc8qbela5.cloudfront.net/video049.mp4,2019,anterior
video050,LIVE SURGERY: Prostatectomy w/ Extended Pelvic Lymph Node Dissection,Seattle Science Foundation,9351.372335,http://dg1fmc8qbela5.cloudfront.net/video050.mp4,2015,anterior
video051,Manuel Rubial - Laparoscopic Nerve Sparing Radical Prostatectomy,Fondazione Vincenzo Pansadoro,7164.099048,http://dg1fmc8qbela5.cloudfront.net/video051.mp4,2019,anterior
video052,Markus Graefen - Robotic Radical Prostatectomy + LDN for T3 cancer,Fondazione Vincenzo Pansadoro,6576.82,http://dg1fmc8qbela5.cloudfront.net/video052.mp4,2019,anterior
video053,Maximum periprostatic anatomy preserving-robotic prostatectomy (MPAP-RALP): Surgical technique,"Yifan Chang, M.D.",5278.49941,http://dg1fmc8qbela5.cloudfront.net/video053.mp4,2018,anterior
video054,Miguel Ramirez Backhaus - Laparoscopic Prostatectomy with ICG,Fondazione Vincenzo Pansadoro,9007.182948,http://dg1fmc8qbela5.cloudfront.net/video054.mp4,2019,anterior
video055,"Narrated, Full length Robotic Prostatectomy by Dr Abaza w Airseal Ultralow Pneumo of 6mmHg and ROSI",Robotic Urologic Surgery with Dr. Ronney Abaza,6103.620499,http://dg1fmc8qbela5.cloudfront.net/video055.mp4,2021,posterior
video056,Nerve Sparing Robot Assisted Radical Prostatectomy - Full Case,IMSRU,2909.042358,http://dg1fmc8qbela5.cloudfront.net/video056.mp4,2020,anterior
video057,NEW Full-length unedited SP Robotic Prostatectomy with PLND by Dr. Ronney Abaza,Robotic Urologic Surgery with Dr. Ronney Abaza,7989.034376,http://dg1fmc8qbela5.cloudfront.net/video057.mp4,2021,posterior
